1	955	8595	42975
2	232	13688	27376
3	13594	27188	81564
4	971	13594	81564
5	971	13594	27188
6	971	27188	81564
7	971	6797	81564
8	971	6797	13594
9	971	6797	27188
10	797	7173	64557
11	1403	42090	84180
12	1403	2806	42090
13	1403	2806	84180
14	1403	2806	8418
15	1403	8418	42090
16	1403	8418	84180
17	871	15678	62712
18	497	22365	89460
19	2806	42090	84180
20	2806	8418	42090
21	2806	8418	84180
22	392	20384	61152
23	409	9816	58896
24	8418	42090	84180
25	6797	13594	81564
26	6797	13594	27188
27	6797	27188	81564
